id,content,score
f75d7b02-8cea-4b8d-b315-4a1c5c40df84,"TikTok ads are invasive. TikTok opened up a window for an ad, which wouldn't let me return to the app I had been using. That's NOT acceptable. I'm uninstalling it, and NEVER having any further contact with the abuse from TIKTOK. It's NOT worth the manipulation or the harassment. Server busy? I'll wait.",1
d41fd5b9-cda7-4e12-898c-e8e1c5ab0e3a,"Bots can get access to your account and send scam messages from it and instead of getting rid of them tiktok will blame you. They will disable your dms, put a warning on your account, and threaten to ban it. They don't have actual customer support to talk to just a bot. And it is clear that if you try to appeal only a bot will look at it so it doesn't work.",1
4edc4d7a-2535-4b80-bdfd-9b5cc9c9289e,Tiktok sucks for small business owners. Wish we had a section where we can find persons who love a specific topic or art. Tiktok doesn't push small biz owners videos enough so if you wanna make it on there good luck. It will stop your views at even 5 or 10. This app is a downfall.,1
15552aa9-66b1-4ec1-89df-12d287b0071f,when I try to make a slideshow at least ONE photo is absolute MESS fix it TikTok.,1
c516d8a0-718a-4be9-9c15-002a842518d5,kindly TikTok team please reinstate the option of who can views your videos now this features of to see who can watched your videos now not showing . please reinstated this feature that one can know who can watched or views the videos or posts thanks special request,5
7de73819-33cf-42fa-9d9d-2552c54cd4b2,Hi dear tik tok I'm a new using on tik tok application please Check my new official Account..... and viral all video on tik tok foryour page username tiktok JayShriram849,1
bc237cf2-c8e0-4aa1-89ec-8b81dfe1c08d,It's slop and it takes your time. Tiktok knows you and how you think they are selling your information. Delete this.,1
2485e4ef-e8b7-40ad-a178-51afffdfe0fe,My tik tok disturbs alot and l find difficulties to open it and l don't have any one to help me,1
b84f3397-7648-498f-91e5-8b74e5453a38,Last few days really bad and just keeps kicking me out.. any updates on the horizon?,4
c374bf48-1b73-43c4-8353-992f57c7cb5b,dear TikTok viral my all videos,2
65281cb5-7af6-491c-9362-6d12ac7afa8a,my name is gt blessing,5
0ec3dbad-7c34-454f-acd3-c80b87677fd4,this app is good to me,5
4c98ae27-538d-42ac-a2ad-df7be80a89dd,amazing app but it lags too much I've got to uninstall it every week so i can play some vids.. make an update pls,4
7a035e0d-9934-435a-9a16-91101304480c,I really enjoyed the app,5
e1658815-672c-489f-a9ab-e2c6c45c317a,shows I can pay 7 cents for 5 coins but it won't let me,2
58d8c3d6-5ec1-4075-aa9e-f37a8c65accf,can't sharing video and message to my friends,1
565675d2-1f17-49f2-b866-81eaeff3f5cd,it's a really good app because they have all kinds of different videos and you can choose what u want to whatch highly reccomended,5
254a08db-3560-4e66-bed6-e5e60e63ae42,Hi Dear TikTok I'am a new user on TikTok application please check my new official account... And please viral my all videos and account.,5
2df316bd-dbea-4c6a-a136-80c30ad7771c,this app not open fast,2
476d04fb-5e1d-4887-9601-36884187c8ba,it's not working well when. I put mobile data tiktok is not working,1
dd8bf0c4-903d-4c30-8565-b34be2e63c80,Delays in downloading,1
