reviewId,content,score
b8f9a048-caa5-46e7-8b28-76cd978d0e90,I cannot leave a comment on a picture without it going to a commercial every time I go to click on it to write something on a post it goes to something else and won't let me write anything why did it have to be updated like that I want the old version back,3
85b41d9b-a671-4a82-afc0-8a0ce5bcdada,"very bad form this app , very bad i want to sign up the Snapchat is , it till your Device banned why , ok But ss06 is banned my account ok, good but can not loging outer id so I want to loging outer id",1
12c20de6-27d2-47d0-82bc-e40c86be5e70,hii good,1
f67220f1-b1a8-481c-b3d3-4731ae8e18b4,why is it that when I delete any of my pictures I can get it back like from the recycling bin I honestly still need those pictures and videos but I can't so please I know you guys work hard a lot to get things going but please consider it please give it a thought and I will be very greatfull 🙏 God bless you all Amen.,2
21a10ac0-1f96-4e95-aa9c-6516ce8d2be6,Nice work,3
1f9944f4-4f58-4809-85c5-5817618a83f7,I'm not getting any sound off my notifications. not even a vibration. I made sure in all settings that was enabled but 🤷🏻‍♀️,2
59a0f723-ef75-4a16-bb7c-3daba7db63cc,please Ultra HD option 🙏 🥹,5
1c3ff916-f0b8-4aa4-926c-dcb1ef52e431,👍,5
496ab697-b23f-4be5-a58c-7628ad500b62,worse 😔,1
d04ad69d-97c6-40da-af6a-51782fae717f,it's really good,5
8d4d9daa-411a-4e9e-be38-2e726e6806a6,"ads ads ads, make me uninstall",2
958fda56-66fb-4421-b3e8-8a2fa0005b8e,good app easy too use and fun,5
c1209c83-11d0-4394-8a0b-75d0709858f1,great app more used,5
7d76f1e7-e0ae-4478-b0d6-d2f9985f4864,good,5
f4d80f78-5c19-42eb-a24f-bc30cf93aa45,good 👍,5
ff3b2d67-a211-435c-8c98-07ad1cb2da10,Many features in my snapchat isn't working properly like floating window and split view. After the update the snap has disabled this features rather before the update the features had been working properly but now it don't work. I want the snapchat team to look into it and solve this problem real quick.,2
fb47f913-c008-4f43-9d9d-9b3e3eb3a551,abhi,5
fff40649-0621-48b9-85eb-ffc9e3e3e67c,Cool ig,5
256b18a2-a40b-4ebe-8eb0-ed4deae5f2cb,my 13 year old has been seeing half naked profile picks,1
8b562965-9069-4baa-b65e-8afeb6113307,nice app,5
1650713c-c564-4bdd-8c0c-9190f127f20a,"amazing app, hundred percent recommend! just be careful who u add.",4
1a73367c-d45e-43dc-8f75-658b2149487e,👍👍👍👍👍,5
d7b3dca6-ced1-471b-b1ca-63619b0fc290,ss03 error solve please,2
51c77b78-2da9-425f-a7f9-e1822fb105c8,"What have you guys done? In the 2026 update, why did you remove the option from where it is seen that my favorite & repost, please bring back this option, it causes a lot of trouble.",1
bf41264a-6ee2-4949-976c-05f148c86333,"What have you guys done? In the 2026 update, why did you remove the option from where it is seen that my favorite & repost, please bring back this option, it causes a lot of trouble.",2
226b2af8-4db0-43f0-88ee-1192ba23640d,I really love for real,5
a310e420-8f1f-495c-9dce-e583f26a168e,bhot ach he,5
9ccbe8b8-d92f-414c-8ba8-25fcd7a362a7,awesome 👍,4
621a4aae-68f7-4146-869e-4b3fd3dee6f5,This is to good but in my mobile snap has not some features,5
8dac1d44-0813-4231-8e05-73b33dfe0230,nice,5
fc54bd9f-f9fb-4bb7-95e2-837079a01046,perfect to the last drop,5
c6ed95af-3ea1-4049-8061-81681a111e86,very good 😊,5
2de2382a-585b-4a38-9b59-0b19187c7a34,I love talking to new people om here,5
de4cd3cf-d842-4f42-9542-761f9747b5cf,Excellent,5
909b0400-4d74-440b-b823-a7a0fd422629,for star rating because this app show location,4
a184b6e4-c1f2-4593-af0c-1ca05a5e0311,kya hi krte ho yr aap kaise du aapko 5 star meri dost yashika apni snap ki jagah kuch aur hi bhejti hai disappointing at its peak 🧫💔,1
55313f60-781a-42ba-9bc6-f488e6201633,Its really a heck,1
337d1390-be21-42b7-bd83-bda87b9bca21,daily updates q aate hai,1
fe2ffbb0-5306-4a69-8d98-2f129f3d7b4d,𝑔𝑟𝑒𝑎𝑡 𝑣𝑒𝑟𝑦 ℎ𝑒𝑙𝑝𝑓𝑜,5
38c5423b-0c19-4475-90ec-0eca0ad02184,when it worked it works fine for what it is but I haven't been able to sign into my account for about a week now with no resolution in sight. can't rate an app highly if I can't sign into it.,1
35bc5af2-65f4-4e37-b977-96007d631adb,just perfect,5
a626094b-9388-4e7a-97d9-26251b4de6f3,won't let me update,5
1544509e-1dfb-458a-900a-b3d8892e11cc,this app is not working well.,1
9d217ae1-a0b5-4eb6-8de1-a7547979a30a,"Snapchat is a fun and easy-to-use app that makes chatting with friends more creative. I really like the filters and Stories feature, and it’s a great way to share quick moments. Overall, it’s an enjoyable and engaging app.🙂",5
dbd4dfe2-3344-450d-8fc8-fc405900eb16,really good for chatting with friends,5
a6ff6d50-95ad-455a-bafc-bfcebcbb71dc,better love 😘💖,5
4c2cfd34-9505-4169-b5cd-2326d6213d57,beutiful app,2
3a9b1899-c48d-402d-bb94-9413c5871288,nice to use,5
66af44b1-6d11-4247-8d9d-0ff30fb986dc,my best app,1
3cfbc629-1c36-4d17-9537-e90225922fd6,har dusre din C14A error,1
bbb7097e-bb36-4cdf-b602-05f06ef5dcc9,Nice one 👋👋👋🥰,5
8c89d92d-e438-4df9-b316-c2171ab979cb,nice App👍,5
d6c391cd-58a6-471c-8657-4b47e9810e57,good,5
9359202f-a27e-4cbd-b57b-6f56b0249e94,good luck,5
75f13da5-b27d-4334-a164-588c42c54ad9,ts tuff,5
c94c83a9-e59e-4cde-abfc-9be382712464,♥️,5
6f23b274-57b7-43d4-8373-7a37e2722a5e,Photo becomes completely blur when posted on story 😕😕,1
7d610ca2-975f-49fa-b17f-1cb1d07c6ad8,"I've used this app since it came out because I love being able to send my friends short little videos of what I'm doing, without losing video quality, like would happen over text, and seeing my friends stories. Nice way to keep in touch with everyone. I loved the addition of ""Friendship Flashbacks"" but they haven't worked properly for months now. They never load. Annoying. You guys have billions of dollars, fix the app. Also Snapchat+ is a ripoff and I don't see why anyone buys it. I never will.",1
8a5fef7b-1638-48ab-a0d7-dae0c76bbd7c,very funny,5
c781fd2e-6cdb-41f9-ab28-980b48b4cd35,good,4
458be38a-102c-4609-8ebe-2a9d31793898,so nice if use wicely,5
7729de5d-1631-4af4-9626-fbb4e640cf81,Such a cool app,5
5657e84a-8bb9-4812-bd9f-c7c59f794290,best 🥰💜😘,5
ecb7cf01-8ec5-4c8b-b1ce-01aff7c16f11,love it,5
8782c08d-e4c8-495e-b4cd-d56c7de2aa9d,this app in my device do not support wide angle camera so please add options in my mobile app,1
